grille_id,referentiel_id,epreuve,competence_code,competence,famille,critique,niveau_code,niveau_libelle,note_min,note_max,indicateur
GR_65C85272,RNCP41998,BC01,BTM1.1,Planifier et ordonnancer la production,Organisation,0,DEB,Débutant,0,4.5,"Aucun planning, production désordonnée, délais non respectés"
GR_2459346E,RNCP41998,BC01,BTM1.1,Planifier et ordonnancer la production,Organisation,0,EXE,Exécution,5,9.5,"Planning partiel, quelques retards ou déséquilibres"
GR_DAEE76D3,RNCP41998,BC01,BTM1.1,Planifier et ordonnancer la production,Organisation,0,OPE,Opérationnel,10,14.5,"Planning cohérent, délais respectés, production fluide"
GR_CC355D7E,RNCP41998,BC01,BTM1.1,Planifier et ordonnancer la production,Organisation,0,EXC,Excellent,15,20.0,"Planning expert, optimisation maximale, anticipation de toutes les contraintes"
GR_44F275E1,RNCP41998,BC01,BTM1.2,Gérer les approvisionnements et les stocks,Organisation,0,DEB,Débutant,0,4.5,"Stocks non gérés, ruptures ou surstocks fréquents"
GR_9E62144E,RNCP41998,BC01,BTM1.2,Gérer les approvisionnements et les stocks,Organisation,0,EXE,Exécution,5,9.5,"Gestion approximative, quelques ruptures ou pertes"
GR_68A83868,RNCP41998,BC01,BTM1.2,Gérer les approvisionnements et les stocks,Organisation,0,OPE,Opérationnel,10,14.5,"Gestion correcte, stocks optimisés, traçabilité respectée"
GR_4E466D71,RNCP41998,BC01,BTM1.2,Gérer les approvisionnements et les stocks,Organisation,0,EXC,Excellent,15,20.0,"Gestion experte, zéro rupture, zéro gaspillage, tableaux de bord maîtrisés"
GR_4CA5BB9D,RNCP41998,BC01,BTM1.3,Contrôler la qualité et la conformité des productions,Gestion,0,DEB,Débutant,0,4.5,Aucun contrôle qualité mis en place
GR_B91623FD,RNCP41998,BC01,BTM1.3,Contrôler la qualité et la conformité des productions,Gestion,0,EXE,Exécution,5,9.5,"Contrôles partiels, non-conformités non traitées"
GR_6EB9E54D,RNCP41998,BC01,BTM1.3,Contrôler la qualité et la conformité des productions,Gestion,0,OPE,Opérationnel,10,14.5,"Contrôles réguliers, non-conformités identifiées et corrigées"
GR_8A6B61A4,RNCP41998,BC01,BTM1.3,Contrôler la qualité et la conformité des productions,Gestion,0,EXC,Excellent,15,20.0,"Système qualité maîtrisé, amélioration continue, indicateurs de performance"
GR_83D7BC76,RNCP41998,BC01,BTM1.4,Coordonner les activités de production,Organisation,0,DEB,Débutant,0,4.5,"Aucune coordination, chacun travaille sans lien avec les autres"
GR_D911FE1C,RNCP41998,BC01,BTM1.4,Coordonner les activités de production,Organisation,0,EXE,Exécution,5,9.5,"Coordination partielle, quelques désynchronisations"
GR_C84F7F66,RNCP41998,BC01,BTM1.4,Coordonner les activités de production,Organisation,0,OPE,Opérationnel,10,14.5,"Coordination efficace, production synchronisée"
GR_A4E1D199,RNCP41998,BC01,BTM1.4,Coordonner les activités de production,Organisation,0,EXC,Excellent,15,20.0,"Coordination experte, leadership naturel, production parfaitement fluide"
GR_1B8E9BCB,RNCP41998,BC02,BTM2.1,Calculer et analyser les coûts de revient,Gestion,0,DEB,Débutant,0,4.5,Aucun calcul ou résultats erronés
GR_BF2B6847,RNCP41998,BC02,BTM2.1,Calculer et analyser les coûts de revient,Gestion,0,EXE,Exécution,5,9.5,"Calculs partiels, méthodologie approximative"
GR_FB7225D6,RNCP41998,BC02,BTM2.1,Calculer et analyser les coûts de revient,Gestion,0,OPE,Opérationnel,10,14.5,"Calculs corrects, fiches techniques maîtrisées"
GR_314996BB,RNCP41998,BC02,BTM2.1,Calculer et analyser les coûts de revient,Gestion,0,EXC,Excellent,15,20.0,"Analyse experte, optimisation des marges, benchmarking concurrentiel"
GR_88E39D9A,RNCP41998,BC02,BTM2.2,Établir fiches techniques et calculer les rendements,Gestion,0,DEB,Débutant,0,4.5,"Fiches absentes ou incomplètes, rendements non calculés"
GR_CDD350ED,RNCP41998,BC02,BTM2.2,Établir fiches techniques et calculer les rendements,Gestion,0,EXE,Exécution,5,9.5,"Fiches réalisées, quelques erreurs de calcul"
GR_624411EA,RNCP41998,BC02,BTM2.2,Établir fiches techniques et calculer les rendements,Gestion,0,OPE,Opérationnel,10,14.5,"Fiches correctes, rendements cohérents"
GR_E189D54E,RNCP41998,BC02,BTM2.2,Établir fiches techniques et calculer les rendements,Gestion,0,EXC,Excellent,15,20.0,"Fiches d'une précision professionnelle, rendements optimisés"
GR_3E66338A,RNCP41998,BC02,BTM2.3,Optimiser les coûts et limiter les pertes,Gestion,0,DEB,Débutant,0,4.5,"Aucune démarche d'optimisation, pertes non contrôlées"
GR_7D3197A8,RNCP41998,BC02,BTM2.3,Optimiser les coûts et limiter les pertes,Gestion,0,EXE,Exécution,5,9.5,"Quelques efforts, résultats limités"
GR_F52F7967,RNCP41998,BC02,BTM2.3,Optimiser les coûts et limiter les pertes,Gestion,0,OPE,Opérationnel,10,14.5,"Pertes identifiées et réduites, coûts maîtrisés"
GR_1E7E354A,RNCP41998,BC02,BTM2.3,Optimiser les coûts et limiter les pertes,Gestion,0,EXC,Excellent,15,20.0,"Optimisation experte, plan d'action chiffré, résultats mesurables"
GR_EDD407AB,RNCP41998,BC02,BTM2.4,Suivre les indicateurs économiques,Gestion,0,DEB,Débutant,0,4.5,"Aucun suivi, indicateurs inconnus"
GR_396CB184,RNCP41998,BC02,BTM2.4,Suivre les indicateurs économiques,Gestion,0,EXE,Exécution,5,9.5,"Suivi partiel, interprétation approximative"
GR_32488A54,RNCP41998,BC02,BTM2.4,Suivre les indicateurs économiques,Gestion,0,OPE,Opérationnel,10,14.5,"Suivi régulier, indicateurs compris et commentés"
GR_074446A2,RNCP41998,BC02,BTM2.4,Suivre les indicateurs économiques,Gestion,0,EXC,Excellent,15,20.0,"Tableau de bord maîtrisé, analyse prévisionnelle, décisions basées sur les données"
GR_2A35E5F1,RNCP41998,BC03,BTM3.1,Encadrer et animer une équipe de production,Management,0,DEB,Débutant,0,4.5,"Aucune autorité naturelle, équipe non encadrée"
GR_6019007C,RNCP41998,BC03,BTM3.1,Encadrer et animer une équipe de production,Management,0,EXE,Exécution,5,9.5,"Encadrement partiel, quelques difficultés relationnelles"
GR_620094C4,RNCP41998,BC03,BTM3.1,Encadrer et animer une équipe de production,Management,0,OPE,Opérationnel,10,14.5,"Encadrement efficace, équipe motivée et productive"
GR_9CB7F9E8,RNCP41998,BC03,BTM3.1,Encadrer et animer une équipe de production,Management,0,EXC,Excellent,15,20.0,"Leadership exemplaire, équipe soudée, performance collective maximale"
GR_E4DCFEA1,RNCP41998,BC03,BTM3.2,Former et accompagner les membres de l'équipe,Management,0,DEB,Débutant,0,4.5,Aucune transmission de compétences
GR_B7CB7373,RNCP41998,BC03,BTM3.2,Former et accompagner les membres de l'équipe,Management,0,EXE,Exécution,5,9.5,"Formation basique, quelques lacunes pédagogiques"
GR_F8F6C423,RNCP41998,BC03,BTM3.2,Former et accompagner les membres de l'équipe,Management,0,OPE,Opérationnel,10,14.5,"Formation efficace, compétences transmises correctement"
GR_F2F91868,RNCP41998,BC03,BTM3.2,Former et accompagner les membres de l'équipe,Management,0,EXC,Excellent,15,20.0,"Pédagogie experte, formations adaptées au niveau de chacun, suivi personnalisé"
GR_F2F69816,RNCP41998,BC03,BTM3.3,Gérer les plannings et affectations de poste,Management,0,DEB,Débutant,0,4.5,Plannings absents ou inadaptés aux compétences
GR_BEB7EBC9,RNCP41998,BC03,BTM3.3,Gérer les plannings et affectations de poste,Management,0,EXE,Exécution,5,9.5,"Plannings réalisés, quelques inadaptations"
GR_289273AB,RNCP41998,BC03,BTM3.3,Gérer les plannings et affectations de poste,Management,0,OPE,Opérationnel,10,14.5,"Plannings cohérents, compétences bien réparties"
GR_809AA77E,RNCP41998,BC03,BTM3.3,Gérer les plannings et affectations de poste,Management,0,EXC,Excellent,15,20.0,"Plannings optimaux, polyvalence encouragée, continuité de service garantie"
GR_C8B79D18,RNCP41998,BC03,BTM3.4,Maintenir la motivation de l'équipe,Management,0,DEB,Débutant,0,4.5,"Ambiance dégradée, conflits non gérés"
GR_B698E1C3,RNCP41998,BC03,BTM3.4,Maintenir la motivation de l'équipe,Management,0,EXE,Exécution,5,9.5,"Ambiance correcte, quelques tensions non résolues"
GR_0FDDED6E,RNCP41998,BC03,BTM3.4,Maintenir la motivation de l'équipe,Management,0,OPE,Opérationnel,10,14.5,"Ambiance positive, conflits gérés, cohésion d'équipe"
GR_66B806ED,RNCP41998,BC03,BTM3.4,Maintenir la motivation de l'équipe,Management,0,EXC,Excellent,15,20.0,"Équipe soudée, engagement élevé, culture d'excellence partagée"
GR_65904F00,RNCP41998,BC04,BTM4.1,Maîtriser techniques avancées de pâtisserie et viennoiserie,Pâtisserie,0,DEB,Débutant,0,4.5,Techniques de base non maîtrisées à ce niveau
GR_C196FB5A,RNCP41998,BC04,BTM4.1,Maîtriser techniques avancées de pâtisserie et viennoiserie,Pâtisserie,0,EXE,Exécution,5,9.5,Techniques correctes mais manque de constance ou d'innovation
GR_D5816548,RNCP41998,BC04,BTM4.1,Maîtriser techniques avancées de pâtisserie et viennoiserie,Pâtisserie,0,OPE,Opérationnel,10,14.5,"Techniques maîtrisées, productions constantes et professionnelles"
GR_9246E8E3,RNCP41998,BC04,BTM4.1,Maîtriser techniques avancées de pâtisserie et viennoiserie,Pâtisserie,0,EXC,Excellent,15,20.0,"Maîtrise experte, créations originales, level MOF/concours"
GR_AF69ADAE,RNCP41998,BC04,BTM4.2,Réaliser produits de chocolaterie et confiserie niveau expert,Chocolaterie,0,DEB,Débutant,0,4.5,Techniques insuffisantes pour le niveau BTM
GR_3FA674F6,RNCP41998,BC04,BTM4.2,Réaliser produits de chocolaterie et confiserie niveau expert,Chocolaterie,0,EXE,Exécution,5,9.5,"Productions correctes, manque de finesse ou de régularité"
GR_04B130FA,RNCP41998,BC04,BTM4.2,Réaliser produits de chocolaterie et confiserie niveau expert,Chocolaterie,0,OPE,Opérationnel,10,14.5,"Productions de haut niveau, maîtrise des techniques avancées"
GR_127BDB0C,RNCP41998,BC04,BTM4.2,Réaliser produits de chocolaterie et confiserie niveau expert,Chocolaterie,0,EXC,Excellent,15,20.0,"Maîtrise absolue, créations innovantes, qualité de concours"
GR_B693FE8A,RNCP41998,BC04,BTM4.3,Produire glaces et entremets glacés d'exception,Glacerie,0,DEB,Débutant,0,4.5,Techniques glacerie insuffisantes pour le niveau BTM
GR_752452AE,RNCP41998,BC04,BTM4.3,Produire glaces et entremets glacés d'exception,Glacerie,0,EXE,Exécution,5,9.5,"Productions correctes, équilibre ou finition perfectibles"
GR_A04BAF1F,RNCP41998,BC04,BTM4.3,Produire glaces et entremets glacés d'exception,Glacerie,0,OPE,Opérationnel,10,14.5,"Productions de qualité, maîtrise des équilibres"
GR_6ADBDE61,RNCP41998,BC04,BTM4.3,Produire glaces et entremets glacés d'exception,Glacerie,0,EXC,Excellent,15,20.0,"Créations glacières d'exception, équilibre parfait, présentation sublime"
GR_9BE579C6,RNCP41998,BC04,BTM4.4,Élaborer produits traiteur salés et sucrés,Traiteur,0,DEB,Débutant,0,4.5,Techniques traiteur non maîtrisées
GR_D2FF5DB9,RNCP41998,BC04,BTM4.4,Élaborer produits traiteur salés et sucrés,Traiteur,0,EXE,Exécution,5,9.5,"Produits corrects, assaisonnement ou finition perfectibles"
GR_F7E3AB81,RNCP41998,BC04,BTM4.4,Élaborer produits traiteur salés et sucrés,Traiteur,0,OPE,Opérationnel,10,14.5,"Produits conformes, bonne présentation, saveurs équilibrées"
GR_EED0ADB2,RNCP41998,BC04,BTM4.4,Élaborer produits traiteur salés et sucrés,Traiteur,0,EXC,Excellent,15,20.0,"Produits de haut niveau, créativité, présentation gastronomique"
GR_D7D1D903,RNCP41998,BC04,BTM4.5,Créer et innover dans les fabrications,Innovation,0,DEB,Débutant,0,4.5,"Aucune créativité, reproduction stricte des recettes existantes"
GR_B7101B91,RNCP41998,BC04,BTM4.5,Créer et innover dans les fabrications,Innovation,0,EXE,Exécution,5,9.5,"Quelques adaptations, manque d'originalité"
GR_1F291721,RNCP41998,BC04,BTM4.5,Créer et innover dans les fabrications,Innovation,0,OPE,Opérationnel,10,14.5,"Créations originales pertinentes, équilibre innovation/faisabilité"
GR_024D5DF0,RNCP41998,BC04,BTM4.5,Créer et innover dans les fabrications,Innovation,0,EXC,Excellent,15,20.0,"Innovation constante, tendances maîtrisées, productions signature"
GR_F12854C4,RNCP41998,BC04,BTM4.6,Maîtriser présentation et décoration de haut niveau,Technique,0,DEB,Débutant,0,4.5,Présentations insuffisantes pour le niveau BTM
GR_8DC8CFE9,RNCP41998,BC04,BTM4.6,Maîtriser présentation et décoration de haut niveau,Technique,0,EXE,Exécution,5,9.5,"Présentations correctes, manque de maîtrise ou d'originalité"
GR_3EA91103,RNCP41998,BC04,BTM4.6,Maîtriser présentation et décoration de haut niveau,Technique,0,OPE,Opérationnel,10,14.5,"Présentations soignées, niveau professionnel confirmé"
GR_399CE2FB,RNCP41998,BC04,BTM4.6,Maîtriser présentation et décoration de haut niveau,Technique,0,EXC,Excellent,15,20.0,"Présentations exceptionnelles, style reconnaissable, impact visuel maximum"
GR_E0C55DB3,RNCP41998,BC05,BTM5.1,Concevoir de nouvelles recettes et produits,Innovation,0,DEB,Débutant,0,4.5,"Aucune capacité de création, ne sort pas des recettes existantes"
GR_D1F8E7DD,RNCP41998,BC05,BTM5.1,Concevoir de nouvelles recettes et produits,Innovation,0,EXE,Exécution,5,9.5,"Quelques tentatives, résultats inégaux"
GR_A58DA49D,RNCP41998,BC05,BTM5.1,Concevoir de nouvelles recettes et produits,Innovation,0,OPE,Opérationnel,10,14.5,"Créations abouties, pertinentes, faisables en production"
GR_8B163503,RNCP41998,BC05,BTM5.1,Concevoir de nouvelles recettes et produits,Innovation,0,EXC,Excellent,15,20.0,"Innovation systématique, veille active, créations à forte valeur ajoutée"
GR_DAAB7B9A,RNCP41998,BC05,BTM5.2,Développer la stratégie commerciale du laboratoire,Commercial,0,DEB,Débutant,0,4.5,"Aucune vision commerciale, ne connaît pas les indicateurs de vente"
GR_3E8F697C,RNCP41998,BC05,BTM5.2,Développer la stratégie commerciale du laboratoire,Commercial,0,EXE,Exécution,5,9.5,"Vision commerciale partielle, quelques actions menées"
GR_7AF6A5C7,RNCP41998,BC05,BTM5.2,Développer la stratégie commerciale du laboratoire,Commercial,0,OPE,Opérationnel,10,14.5,"Stratégie commerciale définie et appliquée, résultats mesurés"
GR_B9910685,RNCP41998,BC05,BTM5.2,Développer la stratégie commerciale du laboratoire,Commercial,0,EXC,Excellent,15,20.0,"Stratégie commerciale experte, gamme cohérente, positionnement marché maîtrisé"
GR_4CE8953C,RNCP41998,BC05,BTM5.3,Valoriser les productions auprès de la clientèle,Communication,0,DEB,Débutant,0,4.5,"Aucune valorisation, ne sait pas présenter les produits"
GR_E24A8D85,RNCP41998,BC05,BTM5.3,Valoriser les productions auprès de la clientèle,Communication,0,EXE,Exécution,5,9.5,Valorisation basique
GR_0F130697,RNCP41998,BC05,BTM5.3,Valoriser les productions auprès de la clientèle,Communication,0,OPE,Opérationnel,10,14.5,"Valorisation efficace, argumentaire complet"
GR_D058A0DA,RNCP41998,BC05,BTM5.3,Valoriser les productions auprès de la clientèle,Communication,0,EXC,Excellent,15,20.0,"Storytelling maîtrisé, clientèle fidélisée, ambassadeur de la marque"
