grille_id,referentiel_id,epreuve,competence_code,competence,famille,critique,niveau_code,niveau_libelle,note_min,note_max,indicateur
GR_817BFB42,RNCP37534,EP1,GL1.1,Identifier et caractériser les matières premières,Technologie,0,DEB,Débutant,0,4.5,"Ne connaît pas les matières premières, confusions fréquentes"
GR_BA61CC9E,RNCP37534,EP1,GL1.1,Identifier et caractériser les matières premières,Technologie,0,EXE,Exécution,5,9.5,"Connaissances partielles, quelques erreurs d'identification"
GR_70F384C4,RNCP37534,EP1,GL1.1,Identifier et caractériser les matières premières,Technologie,0,OPE,Opérationnel,10,14.5,Maîtrise correcte des matières premières et de leurs rôles
GR_8360FE22,RNCP37534,EP1,GL1.1,Identifier et caractériser les matières premières,Technologie,0,EXC,Excellent,15,20.0,"Expertise complète, connaît les origines, propriétés et substituts"
GR_56451543,RNCP37534,EP1,GL1.2,Appliquer les principes HACCP glacerie,Hygiène,1,DEB,Débutant,0,4.5,"BLOQUANT — Règles d'hygiène non respectées, risque sanitaire élevé"
GR_DE92CF1B,RNCP37534,EP1,GL1.2,Appliquer les principes HACCP glacerie,Hygiène,1,EXE,Exécution,5,9.5,"Règles partiellement appliquées, quelques points non conformes"
GR_E6DBA885,RNCP37534,EP1,GL1.2,Appliquer les principes HACCP glacerie,Hygiène,1,OPE,Opérationnel,10,14.5,"HACCP appliqué correctement, contrôles de température effectués"
GR_20ECA57A,RNCP37534,EP1,GL1.2,Appliquer les principes HACCP glacerie,Hygiène,1,EXC,Excellent,15,20.0,"Démarche HACCP irréprochable, anticipation des risques, traçabilité parfaite"
GR_509E54B8,RNCP37534,EP1,GL1.3,"Maîtriser les équipements (pasteurisateur, maturateur, surgélateur)",Technologie,0,DEB,Débutant,0,4.5,"Ne sait pas utiliser les équipements, réglages incorrects"
GR_F775FA07,RNCP37534,EP1,GL1.3,"Maîtriser les équipements (pasteurisateur, maturateur, surgélateur)",Technologie,0,EXE,Exécution,5,9.5,Utilise les équipements avec quelques erreurs de réglage
GR_C21978E7,RNCP37534,EP1,GL1.3,"Maîtriser les équipements (pasteurisateur, maturateur, surgélateur)",Technologie,0,OPE,Opérationnel,10,14.5,"Utilise correctement les équipements, paramètres maîtrisés"
GR_D52F343C,RNCP37534,EP1,GL1.3,"Maîtriser les équipements (pasteurisateur, maturateur, surgélateur)",Technologie,0,EXC,Excellent,15,20.0,"Maîtrise totale, optimise les réglages, entretien courant effectué"
GR_7D3DDEB4,RNCP37534,EP1,GL1.4,Calculer les coûts et gérer les stocks,Gestion,0,DEB,Débutant,0,4.5,"Calcul absent ou erroné, stocks non gérés"
GR_97E3AEE8,RNCP37534,EP1,GL1.4,Calculer les coûts et gérer les stocks,Gestion,0,EXE,Exécution,5,9.5,"Calculs partiels, gestion des stocks approximative"
GR_9B892D54,RNCP37534,EP1,GL1.4,Calculer les coûts et gérer les stocks,Gestion,0,OPE,Opérationnel,10,14.5,"Calculs corrects, gestion des stocks conforme"
GR_FDAA15F2,RNCP37534,EP1,GL1.4,Calculer les coûts et gérer les stocks,Gestion,0,EXC,Excellent,15,20.0,"Analyse précise des coûts, optimisation des stocks, suivi rigoureux"
GR_82DCCE0F,RNCP37534,EP1,GL1.5,Organiser et planifier la production,Organisation,0,DEB,Débutant,0,4.5,"Aucune organisation, production désordonnée"
GR_3A67C92E,RNCP37534,EP1,GL1.5,Organiser et planifier la production,Organisation,0,EXE,Exécution,5,9.5,"Organisation partielle, timing non respecté"
GR_E311A66B,RNCP37534,EP1,GL1.5,Organiser et planifier la production,Organisation,0,OPE,Opérationnel,10,14.5,"Production organisée, planning respecté"
GR_0FA7757C,RNCP37534,EP1,GL1.5,Organiser et planifier la production,Organisation,0,EXC,Excellent,15,20.0,"Planning optimal, anticipation des contraintes, aucun gaspillage"
GR_3C44C939,RNCP37534,EP2,GL3.1,"Réaliser les mix à turbiner (glaces, crèmes glacées, sorbets)",Technique,0,DEB,Débutant,0,4.5,"Mix non conformes, texture ou équilibre sucre/matière grasse incorrect"
GR_D126B535,RNCP37534,EP2,GL3.1,"Réaliser les mix à turbiner (glaces, crèmes glacées, sorbets)",Technique,0,EXE,Exécution,5,9.5,"Mix réalisés, équilibre ou texture perfectibles"
GR_54F0DC29,RNCP37534,EP2,GL3.1,"Réaliser les mix à turbiner (glaces, crèmes glacées, sorbets)",Technique,0,OPE,Opérationnel,10,14.5,"Mix conformes, bonne texture, équilibre correct"
GR_84DB87D8,RNCP37534,EP2,GL3.1,"Réaliser les mix à turbiner (glaces, crèmes glacées, sorbets)",Technique,0,EXC,Excellent,15,20.0,"Mix d'exception, équilibre parfait, texture onctueuse professionnelle"
GR_412CF4CA,RNCP37534,EP2,GL3.2,Produire des spécialités glacées et entremets glacés,Technique,0,DEB,Débutant,0,4.5,"Productions non conformes, montage incorrect ou non terminé"
GR_81594F35,RNCP37534,EP2,GL3.2,Produire des spécialités glacées et entremets glacés,Technique,0,EXE,Exécution,5,9.5,"Productions correctes, finition ou régularité perfectibles"
GR_EF7BF21A,RNCP37534,EP2,GL3.2,Produire des spécialités glacées et entremets glacés,Technique,0,OPE,Opérationnel,10,14.5,"Productions conformes, montage soigné, aspect commercial"
GR_A1269323,RNCP37534,EP2,GL3.2,Produire des spécialités glacées et entremets glacés,Technique,0,EXC,Excellent,15,20.0,"Productions de qualité artisanale, créativité et précision exemplaires"
GR_C2A9DED9,RNCP37534,EP2,GL3.3,"Fabriquer produits non turbinés (parfaits, mousses glacées, nougats glacés)",Technique,0,DEB,Débutant,0,4.5,"Produits ratés, texture ou tenue non conformes"
GR_5CB3997A,RNCP37534,EP2,GL3.3,"Fabriquer produits non turbinés (parfaits, mousses glacées, nougats glacés)",Technique,0,EXE,Exécution,5,9.5,"Produits réalisés, texture ou présentation perfectibles"
GR_F6298A83,RNCP37534,EP2,GL3.3,"Fabriquer produits non turbinés (parfaits, mousses glacées, nougats glacés)",Technique,0,OPE,Opérationnel,10,14.5,"Produits conformes, bonne tenue, aspect correct"
GR_E13F4DB5,RNCP37534,EP2,GL3.3,"Fabriquer produits non turbinés (parfaits, mousses glacées, nougats glacés)",Technique,0,EXC,Excellent,15,20.0,"Produits d'exception, textures parfaites, présentation soignée"
GR_51ACADE1,RNCP37534,EP2,GL3.4,Conditionner et conserver les productions glacées,Technique,0,DEB,Débutant,0,4.5,"Conservation non conforme, risques sanitaires"
GR_42B57926,RNCP37534,EP2,GL3.4,Conditionner et conserver les productions glacées,Technique,0,EXE,Exécution,5,9.5,"Conservation globalement correcte, quelques non-conformités"
GR_4AB5FD52,RNCP37534,EP2,GL3.4,Conditionner et conserver les productions glacées,Technique,0,OPE,Opérationnel,10,14.5,Conservation et conditionnement conformes aux règles
GR_F2B1A0DC,RNCP37534,EP2,GL3.4,Conditionner et conserver les productions glacées,Technique,0,EXC,Excellent,15,20.0,"Conservation optimale, traçabilité parfaite, aucune perte"
GR_A414FE7E,RNCP37534,EP2,GL4.1,Présenter et valoriser les desserts glacés,Valorisation,0,DEB,Débutant,0,4.5,"Présentation négligée, aucune mise en valeur"
GR_BDB25865,RNCP37534,EP2,GL4.1,Présenter et valoriser les desserts glacés,Valorisation,0,EXE,Exécution,5,9.5,"Présentation correcte, manque de soin"
GR_BC4557D8,RNCP37534,EP2,GL4.1,Présenter et valoriser les desserts glacés,Valorisation,0,OPE,Opérationnel,10,14.5,"Présentation soignée, produits mis en valeur"
GR_C13982A5,RNCP37534,EP2,GL4.1,Présenter et valoriser les desserts glacés,Valorisation,0,EXC,Excellent,15,20.0,"Présentation professionnelle, mise en scène créative et attrayante"
