grille_id,referentiel_id,epreuve,competence_code,competence,famille,critique,niveau_code,niveau_libelle,note_min,note_max,indicateur
GR_345ED6D7,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,0,DEB,Débutant,0,4.5,"Ne vérifie pas la livraison, erreurs non détectées"
GR_5E03ABF8,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,0,EXE,Exécution,5,9.5,"Vérifie partiellement, démarche incomplète"
GR_BA2894CF,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,0,OPE,Opérationnel,10,14.5,"Vérifie conformément aux procédures, signale les anomalies"
GR_56E50995,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,0,EXC,Excellent,15,20.0,"Contrôle rigoureux, propose des solutions, anticipe les besoins"
GR_F4A8D883,RNCP38765,EP1,C1.2,Stocker les produits,Organisation,0,DEB,Débutant,0,4.5,"Stockage non conforme, règles de conservation non respectées"
GR_74B2C0A5,RNCP38765,EP1,C1.2,Stocker les produits,Organisation,0,EXE,Exécution,5,9.5,"Stockage globalement correct, quelques erreurs de rotation"
GR_09DDBC6C,RNCP38765,EP1,C1.2,Stocker les produits,Organisation,0,OPE,Opérationnel,10,14.5,"Stockage conforme, FIFO respecté, températures réglementaires"
GR_70C4AE76,RNCP38765,EP1,C1.2,Stocker les produits,Organisation,0,EXC,Excellent,15,20.0,"Organisation optimale, traçabilité parfaite, anticipation des besoins"
GR_04999866,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,0,DEB,Débutant,0,4.5,"Poste désorganisé, matériel manquant, perte de temps importante"
GR_204E8084,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,0,EXE,Exécution,5,9.5,"Organisation partielle, quelques oublis, rythme insuffisant"
GR_C5A722C9,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,0,OPE,Opérationnel,10,14.5,"Poste organisé, matériel prêt, timing respecté"
GR_F08770E8,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,0,EXC,Excellent,15,20.0,"Organisation exemplaire, anticipation totale, aucune perte de temps"
GR_CF093928,RNCP38765,EP1,C2.6,Hygiène — maintenir locaux et matériels (CRITIQUE),Hygiène,1,DEB,Débutant,0,4.5,"BLOQUANT — Hygiène insuffisante, produit non commercialisable, note EP1 < 10 automatique"
GR_1EB7ED89,RNCP38765,EP1,C2.6,Hygiène — maintenir locaux et matériels (CRITIQUE),Hygiène,1,EXE,Exécution,5,9.5,"Nettoyage partiel, zones ou matériels négligés"
GR_60406175,RNCP38765,EP1,C2.6,Hygiène — maintenir locaux et matériels (CRITIQUE),Hygiène,1,OPE,Opérationnel,10,14.5,Nettoyage et désinfection corrects tout au long de la fabrication
GR_E44FF4D1,RNCP38765,EP1,C2.6,Hygiène — maintenir locaux et matériels (CRITIQUE),Hygiène,1,EXC,Excellent,15,20.0,"Hygiène irréprochable, démarche HACCP parfaitement intégrée"
GR_52A5767B,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,0,DEB,Débutant,0,4.5,"Crème ratée ou non réalisée, texture ou cuisson incorrecte"
GR_80B5B686,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,0,EXE,Exécution,5,9.5,"Crème réalisée, texture ou goût perfectibles"
GR_E6ED5472,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,0,OPE,Opérationnel,10,14.5,"Crème conforme, bonne texture, cuisson maîtrisée"
GR_38CC856C,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,0,EXC,Excellent,15,20.0,"Crème parfaite, gestes précis, résultat professionnel"
GR_FB435A90,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, feuilletée, levée-feuilletée)",Technique,0,DEB,Débutant,0,4.5,"Pâte ratée, feuilletage absent, levée insuffisante"
GR_BD5F2664,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, feuilletée, levée-feuilletée)",Technique,0,EXE,Exécution,5,9.5,Pâte réalisée mais développement ou texture insuffisants
GR_B7964DB7,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, feuilletée, levée-feuilletée)",Technique,0,OPE,Opérationnel,10,14.5,"Pâte conforme, bonne texture, bon développement à la cuisson"
GR_ACEC5B26,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, feuilletée, levée-feuilletée)",Technique,0,EXC,Excellent,15,20.0,"Pâte professionnelle, feuilletage régulier, développement parfait"
GR_A8772EB3,RNCP38765,EP1,C3.3,"Réaliser petits fours, meringues, gâteaux de voyage",Technique,0,DEB,Débutant,0,4.5,"Productions non conformes, cuisson incorrecte, aspect non commercial"
GR_6E905706,RNCP38765,EP1,C3.3,"Réaliser petits fours, meringues, gâteaux de voyage",Technique,0,EXE,Exécution,5,9.5,"Productions correctes, régularité ou finition insuffisantes"
GR_6E982B0C,RNCP38765,EP1,C3.3,"Réaliser petits fours, meringues, gâteaux de voyage",Technique,0,OPE,Opérationnel,10,14.5,"Productions conformes, régulières, bien cuites, aspect commercial"
GR_C5C3A330,RNCP38765,EP1,C3.3,"Réaliser petits fours, meringues, gâteaux de voyage",Technique,0,EXC,Excellent,15,20.0,"Qualité artisanale supérieure, finitions soignées, régularité parfaite"
GR_ABEEE19A,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,0,DEB,Débutant,0,4.5,"Aucune analyse, ne sait pas identifier les défauts"
GR_D71B63A3,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,0,EXE,Exécution,5,9.5,"Analyse partielle, identifie quelques défauts sans corrections"
GR_36F50334,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,0,OPE,Opérationnel,10,14.5,"Analyse correcte, identifie défauts et propose des corrections"
GR_AAB94595,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,0,EXC,Excellent,15,20.0,"Analyse experte, argumentation précise, vocabulaire professionnel"
GR_845DE6C1,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,0,DEB,Débutant,0,4.5,"Organigramme absent ou erroné, aucune logique de production"
GR_41B50E6D,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,0,EXE,Exécution,5,9.5,"Organigramme incomplet, ordre partiellement correct"
GR_86D3BE35,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,0,OPE,Opérationnel,10,14.5,"Organigramme logique, respecté, timing globalement tenu"
GR_1A38C054,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,0,EXC,Excellent,15,20.0,"Organigramme optimal, anticipation des contraintes, timing parfait"
GR_131E8322,RNCP38765,EP2,C5.1,"Réaliser les fonds d'entremets (génoise, dacquoise, joconde)",Technique,0,DEB,Débutant,0,4.5,"Fonds ratés, texture ou cuisson incorrecte"
